Time (s),Ankle Position (deg),Ankle Velocity (deg/s),Cable 1 Tension (V),Cable 2 Tension (V),Motor position (rad),Motor velocity (rad/s),Motor Feedforward Torque (Nm),Motor Temperature (C)
13.316780833003577,37119,0.0,2.442564,3.148498,0.927558,0.01099,-0.025641,62.0
13.427083291986492,37119,0.0,2.451428,3.17348,0.927558,0.01099,-0.025641,62.0
13.536633874988183,37119,0.0,2.458681,3.168645,0.927558,0.01099,-0.025641,62.0
13.646812917024363,36863,0.0,2.475604,3.196044,0.927558,0.01099,-0.025641,62.0
13.758871541998815,36863,0.0,2.488498,3.213773,0.927558,0.01099,-0.025641,62.0
13.869872874987777,36351,0.0,2.496557,3.203297,0.927558,0.01099,-0.025641,62.0
13.979580542014446,35839,0.0,2.507033,3.217802,0.927558,0.01099,-0.025641,62.0
14.09117095801048,34047,0.0,2.512674,3.212967,0.927558,0.01099,-0.025641,62.0
14.201139833021443,30207,0.0,2.511868,3.215385,0.927558,0.01099,-0.025641,62.0
14.31123758299509,26623,0.0,2.516703,3.225861,0.927558,0.01099,-0.025641,62.0
14.421283792005852,22783,0.0,2.519927,3.213773,0.927558,0.01099,-0.025641,62.0
14.53125,17151,0.0,2.519927,3.209743,0.927558,0.01099,-0.025641,62.0
14.642897207988426,65535,0.0,2.521538,3.221025,0.927558,0.01099,-0.025641,62.0
14.754881417029537,3071,0.0,2.522344,3.221831,0.927558,0.01099,-0.025641,62.0
14.866587583033834,60927,0.0,2.527179,3.217802,0.927558,0.01099,-0.025641,62.0
14.976411500014365,53247,0.0,2.527985,3.221831,0.927558,0.01099,-0.025641,62.0
15.088310624996666,44799,0.0,2.525568,3.21055,0.927558,0.01099,-0.025641,62.0
15.20017933298368,36607,0.0,2.52315,3.120293,0.927558,0.01099,-0.025641,62.0
15.311761917022523,28927,0.0,2.525568,3.230696,0.927558,0.01099,-0.025641,62.0
15.422166000003926,24063,0.0,2.498974,3.128351,0.927558,0.01099,-0.025641,62.0
15.53377104201354,22015,0.0,2.477216,3.178315,0.927558,0.01099,-0.025641,62.0
15.646112166985404,22015,0.0,2.478828,3.178315,0.927558,0.01099,-0.025641,62.0
15.757367082987912,22783,0.0,2.478022,3.179927,0.927558,0.01099,-0.025641,62.0
15.867541250016075,22783,0.0,2.480439,3.188791,0.927558,0.01099,-0.025641,62.0
15.980785167019349,22783,0.0,2.478828,3.167839,0.927558,0.01099,-0.025641,62.0
16.100218000006862,22783,0.0,2.478828,3.071941,0.927558,0.01099,-0.025641,62.0
16.219582625024486,22783,0.0,2.478828,3.184762,0.927558,0.01099,-0.025641,62.0
16.338755458011292,22783,0.0,2.479634,3.15978,0.927558,0.01099,-0.025641,62.0
16.455607625015546,22783,0.0,2.478022,3.148498,0.927558,0.01099,-0.025641,62.0
16.568929792032577,22783,0.0,2.478022,3.088864,0.927558,0.01099,-0.025641,62.0
16.681814457988366,22783,0.0,2.479634,3.188791,0.927558,0.01099,-0.025641,62.0
16.792911958007608,22783,0.0,2.478828,3.050989,0.927558,0.01099,-0.025641,62.0
16.903617042000405,22783,0.0,2.478828,3.181538,0.927558,0.01099,-0.025641,62.0
17.01421254198067,22783,0.0,2.479634,3.175897,0.927558,0.01099,-0.025641,62.0
17.124322000017855,22783,0.0,2.479634,3.171868,0.927558,0.01099,-0.025641,62.0
17.234957791981287,22783,0.0,2.479634,3.177509,0.927558,0.01099,-0.025641,62.0
17.346939000010025,22783,0.0,2.478828,3.151721,0.927558,0.01099,-0.025641,62.0
17.45877345802728,22783,0.0,2.478828,3.156557,0.927558,0.01099,-0.025641,62.0
17.57029041700298,22527,0.0,2.478828,3.181538,0.927558,0.01099,-0.025641,62.0
17.68234791699797,22527,0.0,2.479634,3.162198,0.927558,0.01099,-0.025641,62.0
17.794096792000346,65535,0.0,2.478022,3.155751,0.927558,0.01099,-0.025641,62.0
17.905148749996442,22527,0.0,2.479634,3.146081,0.927558,0.01099,-0.025641,62.0
18.016262667020783,22527,0.0,2.479634,3.153333,0.927558,0.01099,-0.025641,62.0
18.12816191703314,22527,0.0,2.478022,3.15978,0.927558,0.01099,-0.025641,62.0
18.239858250017278,22527,0.0,2.477216,3.104982,0.927558,0.01099,-0.025641,62.0
18.351758916978724,22527,0.0,2.479634,3.194432,0.927558,0.01099,-0.025641,62.0
18.46557862497866,22527,0.0,2.479634,3.146081,0.927558,0.01099,-0.025641,62.0
18.580779667012393,22527,0.0,2.478828,3.161392,0.927558,0.01099,-0.025641,62.0
18.693764791998547,22527,0.0,2.478828,3.158169,0.927558,0.01099,-0.025641,62.0
18.80575937498361,22527,0.0,2.479634,3.166227,0.927558,0.01099,-0.025641,62.0
18.9199755419977,22527,0.0,2.478022,3.162198,0.927558,0.01099,-0.025641,62.0
19.030444999982137,22527,0.0,2.478828,3.162198,0.927558,0.01099,-0.025641,62.0
19.143001958029345,22783,0.0,2.477216,3.095311,0.927558,0.01099,-0.025641,62.0
19.254493582993746,22783,0.0,2.480439,3.195238,0.927558,0.01099,-0.025641,62.0
19.366018750006333,22783,0.0,2.478022,3.062271,0.927558,0.01099,-0.025641,62.0
19.47684175003087,22783,0.0,2.478828,3.18718,0.927558,0.01099,-0.025641,62.0
19.588881417002995,22527,0.0,2.478828,3.184762,0.927558,0.01099,-0.025641,62.0
19.700927582976874,22527,0.0,2.478828,3.171868,0.927558,0.01099,-0.025641,62.0
19.812121291994117,65535,0.0,2.478828,3.189597,0.927558,0.01099,-0.025641,62.0
19.922488374984823,22783,0.0,2.479634,3.176703,0.927558,0.01099,-0.025641,62.0
20.034122916986234,22783,0.0,2.478828,3.170256,0.927558,0.01099,-0.025641,62.0
20.144389250024687,22527,0.0,2.479634,3.165421,0.927558,0.01099,-0.025641,62.0
20.258184832986444,22783,0.0,2.479634,3.156557,0.927558,0.01099,-0.025641,62.0
20.370978999999352,22783,0.0,2.478828,3.166227,0.927558,0.01099,-0.025641,62.0
20.481502667011227,22527,0.0,2.479634,3.095311,0.927558,0.01099,-0.025641,62.0
20.591572333010845,22527,0.0,2.478022,3.160586,0.927558,0.01099,-0.025641,62.0
20.704872542002704,22527,0.0,2.478828,3.155751,0.927558,0.01099,-0.025641,62.0
20.821430917014368,22527,0.0,2.478022,3.167839,0.927558,0.01099,-0.025641,62.0
20.932851332996506,22527,0.0,2.478022,3.182344,0.927558,0.01099,-0.025641,62.0
21.04308904201025,22527,0.0,2.478022,3.17348,0.927558,0.01099,-0.025641,62.0
21.155687708000187,22527,0.0,2.478022,3.164615,0.927558,0.01099,-0.025641,62.0
21.26993470801972,22527,0.0,2.479634,3.154945,0.927558,0.01099,-0.025641,62.0
21.38141045800876,22527,0.0,2.478022,3.142051,0.927558,0.01099,-0.025641,62.0
21.49210558302002,22527,0.0,2.479634,3.154139,0.927558,0.01099,-0.025641,62.0
21.602193208003882,22527,0.0,2.478022,3.151721,0.927558,0.01099,-0.025641,62.0
21.710611457994673,22527,0.0,2.478828,3.162198,0.927558,0.01099,-0.025641,62.0
21.82121029199334,65535,0.0,2.478828,3.163004,0.927558,0.01099,-0.025641,62.0
21.9302340419963,22783,0.0,2.480439,3.19282,0.927558,0.01099,-0.025641,62.0
22.040123042010237,22783,0.0,2.478828,3.155751,0.927558,0.01099,-0.025641,62.0
